2017-12-09,12:17:52,KRW-BTC,limit,19500000.0,ask,0.00447181,87200.0,
2017-12-09,01:14:49,KRW-BTC,limit,19955000.0,ask,0.00228083,45513.0,
2017-12-08,20:42:34,KRW-BTC,limit,17001000.0,bid,0.00215226,36590.0,
2017-12-08,12:22:06,KRW-BTC,limit,21990000.0,bid,0.00177975,39136.0,
2017-12-07,13:16:57,KRW-BTC,limit,18620000.0,bid,0.0030554,56891.0,
2017-12-06,19:03:21,KRW-BTC,limit,15885000.0,bid,0.0013,20650.0,
2017-12-06,10:28:19,KRW-BTC,limit,14870000.0,bid,0.0069,102603.0,
2017-12-06,01:10:16,KRW-BTC,limit,14329000.0,bid,0.00049497,7092.0,
2017-12-05,12:01:00,KRW-BTC,limit,14000000.0,bid,0.00440893,61725.0,
2017-12-05,10:00:25,KRW-BTC,limit,13750000.0,bid,0.00145476,20002.0,
2017-12-04,23:48:48,KRW-BTC,limit,13420000.0,bid,0.0006842,9181.0,
2017-12-04,21:52:06,KRW-BTC,limit,13345000.0,ask,0.0022,29359.0,
2017-12-04,19:43:54,KRW-BTC,limit,13444000.0,bid,0.00743454,99949.0,
2021-10-07,21:55:00,KRW-ETH,limit,4324000.0,ask,0.23230052,1004467.0,
2021-10-07,00:24:16,KRW-ETH,limit,4356000.0,ask,0.11478421,500000.0,
2021-10-06,22:17:23,KRW-ETH,limit,4321000.0,bid,0.34708473,1499753.0,
2021-05-20,09:21:18,KRW-ETH,market,None,ask,0.27337343,None,
2021-05-20,02:33:36,KRW-ETH,limit,3673000.0,bid,0.27337343,1004100.0,
2021-05-13,12:53:39,KRW-ETH,market,None,ask,0.39077765,None,
2021-05-13,03:33:21,KRW-ETH,limit,5120000.0,bid,0.39077765,2000781.0,
2021-05-11,23:40:00,KRW-ETH,limit,4873000.0,ask,0.93109954,4537248.0,
2021-05-08,23:45:13,KRW-ETH,limit,4365000.0,bid,0.34342416,1499046.0,
2021-05-08,23:32:45,KRW-ETH,limit,4386000.0,bid,0.58767538,2577544.0,
2021-01-11,20:52:17,KRW-ETH,market,None,ask,0.30187731,None,
2021-01-11,01:24:32,KRW-ETH,market,None,ask,0.18371989,None,
2021-01-10,19:35:24,KRW-ETH,market,None,ask,0.46327915,None,
2021-01-10,13:25:04,KRW-ETH,limit,1508500.0,bid,0.1362805,205579.0,
2021-01-09,21:21:59,KRW-ETH,market,None,ask,0.31506039,None,
2021-01-09,20:32:12,KRW-ETH,limit,1415000.0,bid,0.15,212250.0,
2021-01-09,18:10:48,KRW-ETH,limit,1395000.0,bid,0.16506039,230259.0,
2021-01-09,13:52:31,KRW-ETH,market,None,ask,0.65354447,None,
2021-01-09,01:43:10,KRW-ETH,limit,1370500.0,bid,0.15,205575.0,
2021-01-09,01:42:32,KRW-ETH,limit,1417000.0,bid,0.1,141700.0,
2021-01-09,00:14:45,KRW-ETH,market,None,ask,0.71911656,None,
2021-01-08,21:48:57,KRW-ETH,limit,1441500.0,bid,0.08954804,129083.0,
2021-01-08,12:31:32,KRW-ETH,limit,1318500.0,bid,0.13,171405.0,
2021-01-08,05:02:10,KRW-ETH,limit,1391500.0,bid,0.1,139150.0,
2021-01-07,22:24:05,KRW-ETH,market,None,ask,0.12938802,None,
2021-01-07,13:39:21,KRW-ETH,limit,1358500.0,ask,0.12938801,175773.0,
2021-01-07,03:27:27,KRW-ETH,limit,1323000.0,ask,0.15,198450.0,
2021-01-06,21:46:41,KRW-ETH,limit,1259500.0,bid,0.08226677,103614.0,
2021-01-06,21:40:35,KRW-ETH,limit,1267000.0,bid,0.32650926,413687.0,
2021-01-06,21:31:30,KRW-ETH,market,None,ask,0.54850995,None,
2021-01-06,20:49:28,KRW-ETH,limit,1280500.0,bid,0.10200546,130617.0,
2021-01-06,00:23:10,KRW-ETH,limit,1194500.0,ask,0.14883483,177783.0,
